DATE,FPCPITOTLZGZAF
1960-01-01,1.28885903549378
1961-01-01,2.10237396324093
1962-01-01,1.24628537807019
1963-01-01,1.33796971443196
1964-01-01,2.53497284090203
1965-01-01,4.06902873532948
1966-01-01,3.48923368982036
1967-01-01,3.5389915328063
1968-01-01,1.98613552880713
1969-01-01,3.23822451961745
1970-01-01,4.99187711721287
1971-01-01,5.95739773780426
1972-01-01,6.42570844638618
1973-01-01,9.43398734926114
1974-01-01,11.7241259217023
1975-01-01,13.4259418678705
1976-01-01,11.0203906361099
1977-01-01,11.1519640869289
1978-01-01,11.1356076531847
1979-01-01,13.2936586533207
1980-01-01,13.6602406858852
1981-01-01,15.2542442656564
1982-01-01,14.6390324191598
1983-01-01,12.3032071438235
1984-01-01,11.5264813036766
1985-01-01,16.2942269399101
1986-01-01,18.6549189263064
1987-01-01,16.1605814426616
1988-01-01,12.7795448229904
1989-01-01,14.730918284745
1990-01-01,14.3209557277219
1991-01-01,15.334802353322
1992-01-01,13.8746803836057
1993-01-01,9.71746732988991
1994-01-01,8.93852493545717
1995-01-01,8.6804442262446
1996-01-01,7.3541133870696
1997-01-01,8.59778263173684
1998-01-01,6.88054637817292
1999-01-01,5.1814927974787
2000-01-01,5.33895102929217
2001-01-01,5.70190018305716
2002-01-01,9.49471070324861
2003-01-01,5.67941771099109
2004-01-01,-0.692030271024119
2005-01-01,2.0628461650463
2006-01-01,3.24390776468061
2007-01-01,6.17780683499413
2008-01-01,10.0745755249181
2009-01-01,7.21531413612565
2010-01-01,4.08972989470472
2011-01-01,4.99926696965254
2012-01-01,5.72465791678303
2013-01-01,5.78446909667191
2014-01-01,6.12983770287145
2015-01-01,4.54064227737914
2016-01-01,6.57139642173959
2017-01-01,5.18424664766131
2018-01-01,4.51716522786587
2019-01-01,4.12024587014984
2020-01-01,3.21003597454107
2021-01-01,4.61167217803201
2022-01-01,7.03972661255875
