DATE,LRUN64TTZAQ156S
2000-07-01,23.2740390595845
2000-10-01,.
2001-01-01,24.6229033425848
2001-04-01,.
2001-07-01,26.1574513902084
2001-10-01,.
2002-01-01,27.7339278182804
2002-04-01,.
2002-07-01,26.6170683718642
2002-10-01,.
2003-01-01,29.3312333414102
2003-04-01,.
2003-07-01,24.8145353954483
2003-10-01,.
2004-01-01,26.3548025414227
2004-04-01,.
2004-07-01,22.977895001256
2004-10-01,.
2005-01-01,24.2104625083348
2005-04-01,.
2005-07-01,23.4855599906081
2005-10-01,.
2006-01-01,23.1345450322281
2006-04-01,.
2006-07-01,22.1019473081329
2006-10-01,.
2007-01-01,23.6127035083696
2007-04-01,.
2007-07-01,21.0306406685237
2007-10-01,.
2008-01-01,22.8266071620139
2008-04-01,22.5559692980709
2008-07-01,22.8946896212675
2008-10-01,21.9217557040517
2009-01-01,22.72778040249
2009-04-01,23.1353546981467
2009-07-01,24.4160205554111
2009-10-01,24.4596545915141
2010-01-01,24.7925372308681
2010-04-01,24.9404032335532
2010-07-01,25.3858651104379
2010-10-01,24.364141140718
2011-01-01,24.6597702399697
2011-04-01,25.3967084074889
2011-07-01,24.900384965701
2011-10-01,24.1875818653423
2012-01-01,24.864328085229
2012-04-01,24.7072309186918
2012-07-01,25.0644341809256
2012-10-01,24.8411435370714
2013-01-01,24.8367364473751
2013-04-01,25.1974692137373
2013-07-01,24.4105796613707
2013-10-01,24.5155292343934
2014-01-01,24.9376978398959
2014-04-01,25.3909666561577
2014-07-01,25.339708418844
2014-10-01,24.6493978398907
2015-01-01,26.0661549407349
2015-04-01,25.0506757067113
2015-07-01,25.4378222703273
2015-10-01,24.8338332423279
2016-01-01,26.4805208606482
2016-04-01,26.6802543209064
2016-07-01,26.948556811152
2016-10-01,26.7469121971488
2017-01-01,27.4560937859715
2017-04-01,27.8764332300014
2017-07-01,27.5695079983826
2017-10-01,26.9292932266802
2018-01-01,26.5631034248482
2018-04-01,27.4291593933419
2018-07-01,27.2640859858335
2018-10-01,27.2511815126808
2019-01-01,27.4571105708518
2019-04-01,29.5089627538281
2019-07-01,28.9822543963437
2019-10-01,28.7887422523724
2020-01-01,29.7660607244757
2020-04-01,24.3277785863361
2020-07-01,30.7627024965612
2020-10-01,32.128988527706
2021-01-01,32.1681988931256
2021-04-01,34.8958237972014
2021-07-01,34.7234470573451
2021-10-01,35.243691697092
2022-01-01,34.2142644253384
2022-04-01,34.3698709937404
2022-07-01,32.7814827229506
2022-10-01,32.6927598419257
2023-01-01,32.5509905380375
