DATE,MKTGNIZAA646NWDB
1960-01-01,8418196636.08862
1961-01-01,8853596462.10285
1962-01-01,9490596207.55775
1963-01-01,10530795791.894
1964-01-01,11580795372.3142
1965-01-01,12653194943.7833
1966-01-01,13777394494.5532
1967-01-01,15371993857.3512
1968-01-01,16608193363.3659
1969-01-01,18657792544.3461
1970-01-01,20554791786.3052
1971-01-01,22755334260.9779
1972-01-01,23813450000.3828
1973-01-01,32337640739.9128
1974-01-01,40139695466.7946
1975-01-01,41368058388.7064
1976-01-01,39648549965.523
1977-01-01,43590749962.095
1978-01-01,49654699956.822
1979-01-01,60699083234.287
1980-01-01,86086409449.2052
1981-01-01,89562313052.9697
1982-01-01,82776468404.1978
1983-01-01,92847141211.0329
1984-01-01,81876799463.4699
1985-01-01,61888790441.0026
1986-01-01,70409089889.025
1987-01-01,93418902768.4552
1988-01-01,100804607939.194
1989-01-01,104686146123.57
1990-01-01,121780799636.69
1991-01-01,131995444199.593
1992-01-01,144010504856.655
1993-01-01,144532377103.769
1994-01-01,151090989049.88
1995-01-01,168861173587.054
1996-01-01,160122820109.012
1997-01-01,165756688586.457
1998-01-01,149819611443.635
1999-01-01,148308662447.089
2000-01-01,148579184393.85
2001-01-01,131692503020.758
2002-01-01,126298384469.285
2003-01-01,192409554994.057
2004-01-01,251495577661.011
2005-01-01,283925642451.234
2006-01-01,298723210821.157
2007-01-01,323309276978.553
2008-01-01,307188865656.297
2009-01-01,323126586999.403
2010-01-01,409232532137.054
2011-01-01,447479670537.073
2012-01-01,423516734077.151
2013-01-01,391194711860.894
2014-01-01,371745234720.224
2015-01-01,338766618711.13
2016-01-01,315294078694.387
2017-01-01,370872982190.206
2018-01-01,392870093729.482
2019-01-01,378847404290.207
2020-01-01,331987489466.422
2021-01-01,410990696467.047
2022-01-01,397438791875.07
