DATE,NYGDPPCAPKDZAF
1960-01-01,3974.03361120474
1961-01-01,4012.89663721609
1962-01-01,4135.76749836188
1963-01-01,4308.04281809517
1964-01-01,4509.88485226237
1965-01-01,4640.31998735938
1966-01-01,4698.71149286215
1967-01-01,4883.63095065387
1968-01-01,4931.85552141961
1969-01-01,5008.89773905012
1970-01-01,5115.28356733576
1971-01-01,5180.57878425989
1972-01-01,5118.07239382198
1973-01-01,5201.925538599
1974-01-01,5366.9511932585
1975-01-01,5309.53322984154
1976-01-01,5284.99740599372
1977-01-01,5140.3539469156
1978-01-01,5154.3946575082
1979-01-01,5209.29066095952
1980-01-01,5409.67651794353
1981-01-01,5554.69783865993
1982-01-01,5392.51519392274
1983-01-01,5152.95348483674
1984-01-01,5266.46346405206
1985-01-01,5050.86835549723
1986-01-01,4888.8416486468
1987-01-01,4819.97291865133
1988-01-01,4851.23462621034
1989-01-01,4803.64589074527
1990-01-01,4643.22231499389
1991-01-01,4479.85187058929
1992-01-01,4294.90291742528
1993-01-01,4269.70016355266
1994-01-01,4330.71147687187
1995-01-01,4392.07004112001
1996-01-01,4511.64124389134
1997-01-01,4565.21665824426
1998-01-01,4531.29598669759
1999-01-01,4588.7560281192
2000-01-01,4735.66553181957
2001-01-01,4820.64433895753
2002-01-01,4953.7364473103
2003-01-01,5052.90993956202
2004-01-01,5233.86627685538
2005-01-01,5458.23016635984
2006-01-01,5708.82308621003
2007-01-01,5954.16804814954
2008-01-01,6074.94267195276
2009-01-01,5910.78824576381
2010-01-01,6018.23075370279
2011-01-01,6130.97136731323
2012-01-01,6194.99275876379
2013-01-01,6263.10433363432
2014-01-01,6252.31797718806
2015-01-01,6204.92990145846
2016-01-01,6185.74604725477
2017-01-01,6233.18710776586
2018-01-01,6250.99754447319
2019-01-01,6189.28924468567
2020-01-01,5726.26277496798
2021-01-01,5947.88719861369
2022-01-01,6018.52806685513
