DATE,RGDPNAZAA666NRUG
1950-01-01,86774.875
1951-01-01,90719.1875
1952-01-01,93677.4140625
1953-01-01,97621.7265625
1954-01-01,104031.234375
1955-01-01,109947.703125
1956-01-01,116357.21875
1957-01-01,121287.609375
1958-01-01,124738.8828125
1959-01-01,130655.359375
1960-01-01,134599.65625
1961-01-01,139530.0625
1962-01-01,148404.75
1963-01-01,159251.609375
1964-01-01,172070.625
1965-01-01,182424.4375
1966-01-01,190806.109375
1967-01-01,204118.15625
1968-01-01,212992.875
1969-01-01,222853.640625
1970-01-01,234686.59375
1971-01-01,244728.84375
1972-01-01,248778.5625
1973-01-01,260152.796875
1974-01-01,276050.90625
1975-01-01,280731.0
1976-01-01,287047.4375
1977-01-01,286777.3125
1978-01-01,295422.21875
1979-01-01,306620.375
1980-01-01,326920.4375
1981-01-01,344445.78125
1982-01-01,343125.3125
1983-01-01,336789.34375
1984-01-01,353962.5
1985-01-01,349674.46875
1986-01-01,349736.625
1987-01-01,357083.84375
1988-01-01,372081.53125
1989-01-01,380992.34375
1990-01-01,379781.625
1991-01-01,375914.28125
1992-01-01,367880.8125
1993-01-01,372419.0625
1994-01-01,384463.46875
1995-01-01,396442.1875
1996-01-01,413515.71875
1997-01-01,424460.53125
1998-01-01,426656.59375
1999-01-01,436717.6875
2000-01-01,454861.5625
2001-01-01,467303.9375
2002-01-01,484443.875
2003-01-01,498730.5
2004-01-01,521445.46875
2005-01-01,548962.375
2006-01-01,579725.1875
2007-01-01,610801.1875
2008-01-01,630292.1875
2009-01-01,620597.625
2010-01-01,639462.3125
2011-01-01,660463.25
2012-01-01,675081.625
2013-01-01,691858.625
2014-01-01,704637.3125
2015-01-01,713048.8125
2016-01-01,715894.625
2017-01-01,726021.0
2018-01-01,731735.125
2019-01-01,732851.625
