DATE,WUIZAF
1961-07-01,0.1795654
1961-10-01,0.3186743
1962-01-01,0.0
1962-04-01,0.0
1962-07-01,0.0
1962-10-01,0.0
1963-01-01,0.0
1963-04-01,0.0
1963-07-01,0.0
1963-10-01,0.0
1964-01-01,0.193461
1964-04-01,0.0
1964-07-01,0.0
1964-10-01,0.1770852
1965-01-01,0.0
1965-04-01,0.0
1965-07-01,0.0
1965-10-01,0.0
1966-01-01,0.3282994
1966-04-01,0.1497454
1966-07-01,0.5692599
1966-10-01,0.3892565
1967-01-01,0.0
1967-04-01,0.0
1967-07-01,0.0
1967-10-01,0.0
1968-01-01,0.0
1968-04-01,0.0
1968-07-01,0.0
1968-10-01,0.1675884
1969-01-01,0.0
1969-04-01,0.0
1969-07-01,0.0
1969-10-01,0.3490402
1970-01-01,0.0
1970-04-01,0.0
1970-07-01,0.2703433
1970-10-01,0.5818464
1971-01-01,0.4602992
1971-04-01,0.3850597
1971-07-01,0.2300437
1971-10-01,0.4932182
1972-01-01,0.0
1972-04-01,0.1981375
1972-07-01,0.1555452
1972-10-01,0.0
1973-01-01,0.1588058
1973-04-01,0.0
1973-07-01,0.1534213
1973-10-01,0.8387502
1974-01-01,0.1827485
1974-04-01,0.0
1974-07-01,0.3127443
1974-10-01,0.587199
1975-01-01,0.0
1975-04-01,0.0
1975-07-01,0.0
1975-10-01,0.1452011
1976-01-01,0.0
1976-04-01,0.5364807
1976-07-01,0.3159558
1976-10-01,0.0
1977-01-01,0.0
1977-04-01,0.0
1977-07-01,0.0
1977-10-01,0.2416626
1978-01-01,0.0
1978-04-01,0.0
1978-07-01,0.1426127
1978-10-01,0.1242699
1979-01-01,0.2792516
1979-04-01,0.2773156
1979-07-01,0.0
1979-10-01,0.1292658
1980-01-01,0.3301965
1980-04-01,0.0
1980-07-01,0.0
1980-10-01,0.211685
1981-01-01,0.0
1981-04-01,0.0
1981-07-01,0.1302762
1981-10-01,0.0
1982-01-01,0.0
1982-04-01,0.0
1982-07-01,0.0
1982-10-01,0.0672224
1983-01-01,0.0
1983-04-01,0.1427348
1983-07-01,0.1332978
1983-10-01,0.0
1984-01-01,0.0508518
1984-04-01,0.0
1984-07-01,0.0
1984-10-01,0.0
1985-01-01,0.0204767
1985-04-01,0.0434075
1985-07-01,0.0221508
1985-10-01,0.0697382
1986-01-01,0.0872848
1986-04-01,0.0663042
1986-07-01,0.0824742
1986-10-01,0.0273082
1987-01-01,0.0198831
1987-04-01,0.0433163
1987-07-01,0.1060858
1987-10-01,0.0519697
1988-01-01,0.2106594
1988-04-01,0.2221482
1988-07-01,0.2551932
1988-10-01,0.2571487
1989-01-01,0.1550147
1989-04-01,0.0
1989-07-01,0.0
1989-10-01,0.0
1990-01-01,0.0470323
1990-04-01,0.2325906
1990-07-01,0.2599563
1990-10-01,0.3221946
1991-01-01,0.1172952
1991-04-01,0.2489885
1991-07-01,0.2128679
1991-10-01,0.3097094
1992-01-01,0.2894523
1992-04-01,0.0416597
1992-07-01,0.0404645
1992-10-01,0.2489544
1993-01-01,0.0424034
1993-04-01,0.2100399
1993-07-01,0.1404494
1993-10-01,0.2838973
1994-01-01,0.3489183
1994-04-01,0.3717275
1994-07-01,0.051143
1994-10-01,0.1385681
1995-01-01,0.0505842
1995-04-01,0.0
1995-07-01,0.0
1995-10-01,0.0
1996-01-01,0.1478306
1996-04-01,0.0
1996-07-01,0.1635189
1996-10-01,0.0791766
1997-01-01,0.0798085
1997-04-01,0.1372966
1997-07-01,0.0
1997-10-01,0.068362
1998-01-01,0.1463593
1998-04-01,0.0
1998-07-01,0.0
1998-10-01,0.0
1999-01-01,0.0
1999-04-01,0.0
1999-07-01,0.1417133
1999-10-01,0.1903795
2000-01-01,0.0
2000-04-01,0.1861851
2000-07-01,0.087184
2000-10-01,0.3785011
2001-01-01,0.2931348
2001-04-01,0.2096729
2001-07-01,0.2813533
2001-10-01,0.1308986
2002-01-01,0.1346167
2002-04-01,0.0
2002-07-01,0.0
2002-10-01,0.1915709
2003-01-01,0.0625
2003-04-01,0.1725725
2003-07-01,0.1607803
2003-10-01,0.1219661
2004-01-01,0.1015228
2004-04-01,0.1714384
2004-07-01,0.1118381
2004-10-01,0.027852
2005-01-01,0.0
2005-04-01,0.1773154
2005-07-01,0.060042
2005-10-01,0.0
2006-01-01,0.2384359
2006-04-01,0.0603245
2006-07-01,0.1909247
2006-10-01,0.5290306
2007-01-01,0.4193375
2007-04-01,0.1921476
2007-07-01,0.6360918
2007-10-01,0.4552698
2008-01-01,0.9778038
2008-04-01,0.700841
2008-07-01,0.4825789
2008-10-01,0.3733084
2009-01-01,0.0949127
2009-04-01,0.2541081
2009-07-01,0.1660992
2009-10-01,0.0760398
2010-01-01,0.2483855
2010-04-01,0.3545785
2010-07-01,0.2635741
2010-10-01,0.1812744
2011-01-01,0.6275213
2011-04-01,0.178444
2011-07-01,0.5116398
2011-10-01,0.6602294
2012-01-01,0.7252216
2012-04-01,0.7215007
2012-07-01,1.038929
2012-10-01,0.4052685
2013-01-01,0.4806537
2013-04-01,0.6169575
2013-07-01,0.4210526
2013-10-01,0.6810958
2014-01-01,0.8328872
2014-04-01,0.474705
2014-07-01,0.1205691
2014-10-01,0.550585
2015-01-01,0.535676
2015-04-01,0.5950167
2015-07-01,1.162941
2015-10-01,0.6342663
2016-01-01,1.176767
2016-04-01,1.65875
2016-07-01,1.249724
2016-10-01,0.9641342
2017-01-01,1.040989
2017-04-01,1.127033
2017-07-01,1.382421
2017-10-01,1.821079
2018-01-01,0.6081985
2018-04-01,0.8888889
2018-07-01,0.8105918
2018-10-01,0.168039
2019-01-01,1.091041
2019-04-01,0.8140008
2019-07-01,1.084913
2019-10-01,1.104057
2020-01-01,0.5367687
2020-04-01,0.6416613
2020-07-01,0.5153754
2020-10-01,0.136407
2021-01-01,0.2657595
2021-04-01,0.38917
2021-07-01,0.3889789
2021-10-01,0.4373633
2022-01-01,0.5787037
2022-04-01,0.5026389
2022-07-01,0.2305741
2022-10-01,0.5513017
2023-01-01,0.372694
2023-04-01,0.3637951
